"","striker","adj_avg_bat_rd","adj_bat_rd","avg_bat_rd","total_bat_rd","balls","strike_rate","adj_exp","exp_avg","runs","dismissals","bat_average","adj_bat_avg","bowl_adj_bat_avg"
"43","Anmolpreet Singh",0.0169463263281433,1.38959875890775,0.0895813861070212,7.34567366077574,82,128.048780487805,38.5363021658814,29.9494393979334,105,4,26.25,-0.123522826213189,-0.318824108057758
"44","V Kohli",0.00175327296020429,0.80124574281336,0.0224437313693214,10.2567852357799,457,139.824945295405,42.60299693706,32.2688866867466,639,12,53.25,0.650196380089886,0.249912067892066
"45","AJ Hosein",0.0301970978865825,0.301970978865825,-0.0177084179693098,-0.177084179693098,10,160,14.1865975494802,17.6201344234248,16,NA,16,-0.0919479037158171,0.127825043615638
"46","S Dhawan",0.000706928252985294,0.184508274029162,0.003996839143262,1.04317501639138,261,142.911877394636,38.7678280527835,32.0730266159739,373,9,41.4444444444444,0.292190005660492,0.0690422065434437
"47","SN Thakur",0.00150926711414234,0.105648697989964,0.0231517480107945,1.62062236075561,70,161.428571428571,28.3498315668086,27.4653074872819,113,8,14.125,-0.485714842022405,-0.501760708288042
"48","Liton Das",0.0184123732511252,0.0736494930045006,0.0282139648480022,0.112855859392009,4,100,22.8440645575988,26.2616991000413,4,1,4,-0.847686930508098,-0.824899811943955
"49","Vivrant Sharma",-0.00819499342217336,-0.385164690842148,-0.026001875205943,-1.22208813467932,47,146.808510638298,49.6679978595168,41.2725765783407,69,1,69,0.671812271497734,0.389224510220097
"50","M Markande",-0.036668095533722,-0.476685241938385,-0.140089014669935,-1.82115719070915,13,161.538461538462,16.1178251507659,16.4573195905401,21,NA,21,0.276027963391507,0.302905311576858
"51","VG Arora",-0.271455339497158,-0.542910678994317,-0.28722156083534,-0.57444312167068,2,150,15.2849810686624,13.2783492737016,3,NA,3,-0.774068301852729,-0.803728903128924
"52","I Sharma",-0.673183255603925,-0.673183255603925,-0.699567724090916,-0.699567724090916,1,100,12.1408426378814,12.7197916882329,1,NA,1,-0.921382360300358,-0.917633394169871
