"","bowler","adj_avg_bowl_rd","adj_bowl_rd","balls","avg_bowl_rd","total_bowl_rd","econ","bat_adj_bowl_avg","adj_bowl_avg","wickets","strike_rate","bowl_average"
"48","KR Sen",-0.0888409623497105,-1.59913732229479,19,0.151304650601737,2.72348371083126,9.33333333333333,-0.395246178466087,-0.121612024888402,0,142.105263157895,27
"49","Tilak Varma",-0.252282469261058,-1.51369481556635,7,-0.27361524889449,-1.64169149336694,7,-0.798633509191668,-0.760688303419648,0,85.7142857142857,6
"50","MM Ali",-0.00906840701432959,-1.41467149423542,157,-0.0240321410770589,-3.74901400802119,7.5,-0.312607667120049,-0.297892568520446,9,123.566878980892,21.5555555555556
"51","R Goyal",-0.0505204859721575,-1.21249166333178,24,0.0979019016976697,2.34964564074407,8.25,-0.16092231841878,0.0733487150759487,0,137.5,33
"52","M Theekshana",-0.00402113008589394,-1.18221224525282,298,-0.104557957622539,-30.7400395410266,8,0.142497539540368,0.166301049778965,11,129.865771812081,35.1818181818182
"53","N Rana",-0.0177171896160871,-0.939011049652615,54,-0.0469071777843757,-2.48608042257191,8.49056603773585,-0.223427949793479,-0.177998090025854,3,137.037037037037,24.6666666666667
"54","D Pretorius",-0.0372397336618134,-0.893753607883522,28,-0.655077137003801,-15.7218512880912,7,-0.158248849425572,-0.121433667323359,0,85.7142857142857,24
"55","RS Hangargekar",-0.0132925612565082,-0.478532205234296,43,0.122963265718552,4.42667756586788,10,-0.438226847961763,-0.321874825399665,3,123.255813953488,17.6666666666667
"56","H Sharma",-0.0228416012738314,-0.411148822928966,18,0.157448582437845,2.83407448388122,9.33333333333333,-0.435619126507419,-0.168096389166845,0,155.555555555556,28
"57","MG Bracewell",-0.00386117160022872,-0.254837325615095,66,0.0260803173924598,1.72130094790235,8.63636363636364,-0.611152235320492,-0.51265648426668,6,143.939393939394,15.8333333333333
"58","MA Wood",-0.00218322742927021,-0.20958983320994,102,-0.0825323043691418,-7.92310121943761,8.125,-0.573262473027204,-0.539014907199145,11,121.56862745098,11.2727272727273
"59","R Powell",-0.0166086663019528,-0.199303995623433,14,-0.136571149375023,-1.63885379250027,9,-0.366105685711779,-0.413478583952859,1,114.285714285714,16
"60","R Dhawan",-0.00140661316884803,-0.0590777530916173,42,0.0936860164589968,3.93481269127787,8.57142857142857,0.776578455945609,0.782061319986539,1,142.857142857143,60
"61","M Markande",0.00151286650127101,0.344933562289791,230,-0.0505536514323958,-11.5262325265863,7.89473684210526,-0.248106719426156,-0.175788450018899,12,129.130434782609,24.75
"62","T Natarajan",0.00135612829046045,0.366154638424322,276,-0.0391286798468123,-10.5647435586393,9.11111111111111,0.273359089722731,0.474853550327184,10,146.376811594203,40.4
"63","AU Rashid",0.00991092084264765,0.416258675391201,42,0.113652591868356,4.77340885847093,8,-0.0626918878620757,0.080301953039834,2,133.333333333333,28
"64","GJ Maxwell",0.021275285805475,1.31906771993945,64,0.0777066913176108,4.81781486169187,9.09677419354839,-0.219441079204086,-0.105242527836279,3,143.75,30.6666666666667
"65","WD Parnell",0.0132760390377615,2.00468189470198,157,-0.0396991108855202,-5.99456574371355,9.37748344370861,-0.299280728030513,-0.31632977331858,9,146.496815286624,25.5555555555556
"66","DJ Hooda",0.348843609410826,2.09306165646495,6,0.206806594583974,1.24083956750384,8,-0.597716327808402,-0.660452373947136,0,133.333333333333,8
"67","Washington Sundar",0.0206483036295472,2.18872018473201,106,0.0410985750749994,4.35644895794993,8.26415094339623,0.411113261389458,0.456814066298042,3,137.735849056604,48.6666666666667
"68","Swapnil Singh",0.239431519516839,2.87317823420207,12,0.329474550124732,3.95369460149679,9,-0.311293034697009,-0.262627154257271,0,150,18
"69","MR Marsh",0.0238322300836622,2.88369984012313,132,-0.0177754337359272,-2.15082748204719,8.4297520661157,-0.526967014014872,-0.482089122477462,12,120.454545454545,13.25
"70","AJ Hosein",0.127138358763162,3.05132061031588,24,0.235383565867692,5.64920558082461,10,0.652197252063917,0.103140001029794,1,166.666666666667,40
"71","AS Roy",0.0654058910528597,3.13948277053727,51,0.0713801284445162,3.42624616533678,8.125,-0.192578546799791,-0.228031163591937,3,121.56862745098,20.6666666666667
"72","Lalit Yadav",0.0428323714091955,3.34092496991725,82,0.0861255532099715,6.71779315037778,9.07692307692308,0.497585540120326,0.685967386098969,2,139.024390243902,57
"73","SSB Magala",0.0944896452091433,3.40162722752916,37,-0.207656784663549,-7.47564424788775,8.5,0.869638716192451,0.45147047583293,1,135.135135135135,50
"74","OC McCoy",0.633568004996959,3.80140802998175,7,0.550078232619583,3.3004693957175,13,-0.369453790448415,-0.515310913274275,0,171.428571428571,12
"75","MK Lomror",0.403536882163338,4.84244258596006,12,0.117544716167225,1.4105365940067,8.5,0.0673825812512094,-0.274456886142361,0,141.666666666667,17
"76","DG Nalkande",0.204105578621418,4.89853388691403,25,0.449139345513857,10.7793442923326,11,0.0293980572409478,0.464367920783614,1,172,43
"77","KR Mayers",0.120311712460013,5.05309192332056,46,0.248457251598917,10.4352045671545,8.42857142857143,0.749282424853825,0.849283681503972,0,119.565217391304,55
"78","D Wiese",0.284086784891528,5.11356212804751,18,0.493373760403764,8.88072768726775,12.6666666666667,-0.248243932689069,0.165246172508379,0,211.111111111111,38
"79","Akash Deep",0.176838135807494,5.30514407422482,33,0.298875593690538,8.96626781071614,11.8,0.541790223115721,0.665007485789002,1,169.69696969697,56
"80","Nithish Kumar Reddy",0.181578862940154,5.44736588820462,31,0.286402843826292,8.59208531478876,10.8,0.153741388890818,0.422682635051416,0,170.967741935484,53
"81","JP Behrendorff",0.0222177102484499,5.59886298260937,262,0.042852315129786,10.7987834127061,9.21428571428571,-0.242519238159832,-0.160797150751522,14,142.36641221374,26.6428571428571
"82","R Tewatia",0.472094369831508,6.13722680780961,14,-0.441799160481056,-5.74338908625373,6.92307692307692,-0.101036343442001,-0.300194547071277,0,100,14
"83","HH Pandya",0.0477532079402304,7.16298119103456,156,0.0599237404474916,8.98856106712374,9.12,1.01321689039218,0.998035199506321,3,142.307692307692,74
"84","JO Holder",0.0420431093519796,7.18937169918852,176,0.0989869093820587,16.926761504332,9.96491228070176,0.956439306688964,1.22436811888164,4,158.522727272727,69.75
"85","K Rabada",0.0545407718594497,7.52662651660406,147,0.127527332938634,17.5987719455314,10.0869565217391,-0.143799528562274,-0.0659289646386725,7,151.700680272109,31.8571428571429
"86","AK Markram",0.156636054881122,7.67516668917497,49,0.15518589229884,7.60410872264318,8.57142857142857,0.659782434530584,1.17858352048639,1,142.857142857143,70
"87","Yudhvir Singh",0.182454453923712,8.75781378833817,50,0.23099516557948,11.0877679478151,8.75,-0.167496557239777,-0.263482775258213,3,128,21.3333333333333
